Job Family Group,Job Families,Job Profile Long,Career Track,Track Level,Career Track Sort,Pay Grade,Min,Mid,Max,Grade Key
Accounting,Cost Accounting,Cost Accountant I,Business Professional,BP1,31,8,49500,61900,74300,U8-1
Accounting,Cost Accounting,Cost Accountant II,Business Professional,BP2,32,10,61500,76900,92300,U10-1
Accounting,Cost Accounting,Sr Cost Accountant I,Business Professional,BP3,33,12,75800,94700,113700,U12-1
Accounting,Cost Accounting,Sr Cost Accountant II,Business Professional,BP4,34,14,91700,114600,137600,U14-1
Accounting,Cost Accounting,Principal Cost Accountant,Business Professional,BP5,35,16,109900,137400,164900,U16-1
Accounting,Cost Accounting,Sr Principal Cost Accountant,Business Professional,BP6,36,19,138400,176400,214500,U19-1
Accounting,Cost Accounting,"Manager, Cost Accounting",Management,MG3,49,15,100900,126100,151400,U15-1
Accounting,Cost Accounting,"Sr Manager, Cost Accounting",Management,MG4,50,17,119800,149800,179700,U17-1
Accounting,Cost Accounting,"Assc Director, Cost Accounting",Management,MG4,50,17,119800,149800,179700,U17-1
Accounting,Cost Accounting,"Director, Cost Accounting",Management,MG5,51,19,138400,176400,214500,U19-1
Accounting,Cost Accounting,"Sr Director, Cost Accounting",Management,MG6,52,22,173100,225000,277000,U22-1
Accounting,General Accounting,Accountant I,Business Professional,BP1,31,8,44200,55300,66300,U7-1
Accounting,General Accounting,Accountant II,Business Professional,BP2,32,9,55400,69300,83100,U9-1
Accounting,General Accounting,Sr Accountant I,Business Professional,BP3,33,11,68900,86100,103400,U11-1
Accounting,General Accounting,Sr Accountant II,Business Professional,BP4,34,14,83400,104200,125100,U13-1
Accounting,General Accounting,Principal Accountant,Business Professional,BP5,35,17,109900,137400,164900,U16-1
Accounting,General Accounting,Sr Principal Accountant,Business Professional,BP6,36,21,138400,176400,214500,U19-1
Accounting,General Accounting,"Manager, Accounting",Management,MG3,49,15,100900,126100,151400,U15-1
Accounting,General Accounting,"Sr Manager, Accounting",Management,MG4,50,18,119800,149800,179700,U17-1
Accounting,General Accounting,"Assc Director, General Accounting",Management,MG4,50,18,119800,149800,179700,U17-1
Accounting,General Accounting,"Director,  Accounting",Management,MG5,51,20,149800,191000,232200,U20-1
Accounting,General Accounting,"Sr Director,  Accounting",Management,MG6,52,22,173100,225000,277000,U22-1
Accounting,Revenue Accounting,Revenue Accountant I,Business Professional,BP1,31,8,49500,61900,74300,U8-1
Accounting,Revenue Accounting,Revenue Accountant II,Business Professional,BP2,32,10,61500,76900,92300,U10-1
Accounting,Revenue Accounting,Sr Revenue Accountant I,Business Professional,BP3,33,12,75800,94700,113700,U12-1
Accounting,Revenue Accounting,Sr Revenue Accountant II,Business Professional,BP4,34,15,100900,126100,151400,U15-1
Accounting,Revenue Accounting,Principal Revenue Accountant,Business Professional,BP5,35,18,126900,161800,196700,U18-1
Accounting,Revenue Accounting,Sr Principal Revenue Accountant,Business Professional,BP6,36,19,138400,176400,214500,U19-1
Accounting,Revenue Accounting,"Manager, Revenue Accounting",Management,MG3,49,15,100900,126100,151400,U15-1
Accounting,Revenue Accounting,"Sr Manager, Revenue Accounting",Management,MG4,50,18,126900,161800,196700,U18-1
Accounting,Revenue Accounting,"Director, Revenue Accounting",Management,MG5,51,20,149800,191000,232200,U20-1
Accounting,Revenue Accounting,"Sr Director, Revenue Accounting",Management,MG6,52,23,188500,245000,301600,U23-1
Administrative,Administrative,Administrative Assistant I,Business Support,BS1,4,4,31400,39300,47100,U4-1
Administrative,Administrative,Administrative Assistant II,Business Support,BS2,5,6,39400,49300,59100,U6-1
Administrative,Administrative,Sr Administrative Assistant I,Business Support,BS3,6,8,49500,61900,74300,U8-1
Administrative,Administrative,Sr Administrative Assistant II,Business Support,BS4,7,10,61500,76900,92300,U10-1
Administrative,Administrative,Executive Assistant I,Business Professional,BP1,31,9,55400,69300,83100,U9-1
Administrative,Administrative,Executive Assistant II,Business Professional,BP2,32,10,61500,76900,92300,U10-1
Administrative,Administrative,Sr Executive Assistant I,Business Professional,BP3,33,12,75800,94700,113700,U12-1
Administrative,Administrative,Sr Executive Assistant II,Business Professional,BP4,34,15,100900,126100,151400,U15-1
Administrative,Administrative,"Supervisor, Administration",Management,MG1,47,9,55400,69300,83100,U9-1
Administrative,Administrative,"Sr Supervisor, Administration",Management,MG2,48,11,68900,86100,103400,U11-1
Administrative,Administrative,"Manager, Administration",Management,MG3,49,13,83400,104200,125100,U13-1
Chemistry,Chemists,Chemist I,Technical Professional,TP1,39,9,55400,69300,83100,U9-1
Chemistry,Chemists,Chemist II,Technical Professional,TP2,40,11,61500,76900,92300,U10-1
Chemistry,Chemists,Sr Chemist I,Technical Professional,TP3,41,13,83400,104200,125100,U13-1
Chemistry,Chemists,Sr Chemist II,Technical Professional,TP4,42,16,109900,137400,164900,U16-1
Chemistry,Chemists,Principal Chemist,Technical Professional,TP5,43,18,126900,161800,196700,U18-1
Chemistry,Chemists,Sr Principal Chemist,Technical Professional,TP6,44,21,161600,206000,250500,U21-1
Chemistry,Chemists,"Manager, Chemistry",Management,MG3,49,16,109900,137400,164900,U16-1
Chemistry,Chemists,"Sr Manager, Chemistry",Management,MG4,50,20,149800,191000,232200,U20-1
Chemistry,Chemists,"Assc Director, Chemistry",Management,MG4,50,20,149800,191000,232200,U20-1
Chemistry,Chemists,"Director, Chemistry",Management,MG5,51,23,188500,245000,301600,U23-1
Chemistry,Chemists,"Sr Director, Chemistry",Management,MG6,52,24,207700,270000,332300,U24-1
Customer Support,Sales Support - Appeals,"Specialist 1, Appeals",Business Support,BS1,4,4,35300,44100,53000,U5-1
Customer Support,Sales Support - Appeals,"Specialist 2, Appeals",Business Support,BS2,5,6,39400,49300,59100,U6-1
Customer Support,Sales Support - Appeals,"Specialist 3, Appeals",Business Support,BS3,6,7,44200,55300,66300,U7-1
Customer Support,Sales Support - Appeals,"Specialist 4, Appeals",Business Support,BS4,7,6,49500,61900,74300,U8-1
Customer Support,Sales Support - Appeals,"Supervisor, Appeals",Management,MG1,47,10,55400,69300,83100,U9-1
Customer Support,Sales Support - Appeals,"Sr Supervisor, Appeals",Management,MG2,48,10,61500,76900,92300,U10-1
Customer Support,Sales Support - Appeals,"Manager, Appeals",Management,MG3,49,12,83400,104200,125100,U13-1
Customer Support,Sales Support - Appeals,"Sr Manager, Appeals",Management,MG4,50,16,109900,137400,164900,U16-1
Customer Support,Sales Support - Appeals,"Director, Appeals",Management,MG5,51,19,138400,176400,214500,U19-1
Customer Support,Sales Support - Appeals,"Sr Director, Appeals",Management,MG6,52,21,161600,206000,250500,U21-1
Customer Support,Customer Support - Executive,"VP, Customer Support",Executive,EX1,54,24,207700,270000,332300,U24-1
Customer Support,Customer Support-Executive,"SVP, Customer Support",Executive,EX3,56,25,224200,297000,369900,U25-1
Customer Support,Sales Support - Inbound Supply,"Specialist 1, Inbound Supply",Business Support,BS1,4,4,35300,44100,53000,U5-1
Customer Support,Sales Support - Inbound Supply,"Specialist 2, Inbound Supply",Business Support,BS2,5,6,39400,49300,59100,U6-1
Customer Support,Sales Support - Inbound Supply,"Specialist 3, Inbound Supply",Business Support,BS3,6,7,44200,55300,66300,U7-1
Customer Support,Sales Support - Inbound Supply,"Specialist 4, Inbound Supply",Business Support,BS4,7,9,49500,61900,74300,U8-1
Customer Support,Sales Support - Inbound Supply,"Supervisor, Inbound Supply",Management,MG1,47,10,55400,69300,83100,U9-1
Customer Support,Sales Support - Inbound Supply,"Sr Supervisor, Inbound Supply",Management,MG2,48,11,61500,76900,92300,U10-1
Customer Support,Sales Support - Inbound Supply,"Manager, Inbound Supply",Management,MG3,49,14,83400,104200,125100,U13-1
Customer Support,Sales Support - Inbound Supply,"Sr Manager, Inbound Supply",Management,MG4,50,16,109900,137400,164900,U16-1
Customer Support,Sales Support - Intake and BVS,"Specialist 1, Intake & BVS",Business Support,BS1,4,3,28100,35100,42200,U3-1
Customer Support,Sales Support - Intake and BVS,"Specialist 1, Intake & BVS",Business Support,BS1,4,3,28100,35100,42200,U3-1
Customer Support,Sales Support - Intake and BVS,"Specialist 2, Intake & BVS",Business Support,BS2,5,4,31400,39300,47100,U4-1
Customer Support,Sales Support - Intake and BVS,"Specialist 3, Intake & BVS",Business Support,BS3,6,5,35300,44100,53000,U5-1
Customer Support,Sales Support - Intake and BVS,"Specialist 4, Intake & BVS",Business Support,BS4,7,7,44200,55300,66300,U7-1
Customer Support,Sales Support - Intake and BVS,"Supervisor, Intake & BVS",Management,MG1,47,10,55400,69300,83100,U9-1
Customer Support,Sales Support - Intake and BVS,"Supervisor, Intake & BVS",Management,MG1,47,10,55400,69300,83100,U9-1
Customer Support,Sales Support - Intake and BVS,"Sr Supervisor, Intake & BVS",Management,MG2,48,11,61500,76900,92300,U10-1
Customer Support,Sales Support - Intake and BVS,"Manager, Intake & BVS",Management,MG3,49,13,83400,104200,125100,U13-1
Customer Support,Sales Support - Intake and BVS,"Sr Manager, Intake & BVS",Management,MG4,50,17,109900,137400,164900,U16-1
Customer Support,Sales Support - Intake and BVS,"Director, Intake & BVS",Management,MG5,51,19,138400,176400,214500,U19-1
Customer Support,Sales Support - Intake and BVS,"Sr Director, Intake & BVS",Management,MG6,52,22,173100,225000,277000,U22-1
Customer Support,Sales Support - Supply Sales,"Specialist 1, Supply Sales",Business Support,BS1,4,4,39400,49300,59100,U6-1
Customer Support,Sales Support - Supply Sales,"Specialist 2, Supply Sales",Business Support,BS2,5,6,44200,55300,66300,U7-1
Customer Support,Sales Support - Supply Sales,"Specialist 3, Supply Sales",Business Support,BS3,6,7,49500,61900,74300,U8-1
Customer Support,Sales Support - Supply Sales,"Specialist 4, Supply Sales",Business Support,BS4,7,9,55400,69300,83100,U9-1
Customer Support,Sales Support - Supply Sales,"Supervisor, Supply Sales",Management,MG1,47,10,55400,69300,83100,U9-1
Customer Support,Sales Support - Supply Sales,"Sr Supervisor, Supply Sales",Management,MG2,48,11,61500,76900,92300,U10-1
Customer Support,Sales Support - Supply Sales,"Manager, Supply Sales",Management,MG3,49,14,83400,104200,125100,U13-1
Customer Support,Sales Support - Supply Sales,"Sr Manager, Supply Sales",Management,MG4,50,16,109900,137400,164900,U16-1
Customer Support,Sales Support - Supply Sales,"Director, Customer Sales Support",Management,MG5,51,20,149800,191000,232200,U20-1
Customer Support,Sales Support - Supply Sales,"Sr Director, Customer Care Operations",Management,MG6,52,21,161600,206000,250500,U21-1
Customer Support,Customer Success Advocacy,"Specialist 1, Customer Success",Business Support,BS1,4,3,31400,39300,47100,U4-1
Customer Support,Customer Success Advocacy,"Specialist 2, Customer Success",Business Support,BS2,5,4,35300,44100,53000,U5-1
Customer Support,Customer Success Advocacy,"Specialist 3, Customer Success",Business Support,BS3,6,5,39400,49300,59100,U6-1
Customer Support,Customer Success Advocacy,"Lead, Customer Success",Business Support,BS4,7,7,49500,61900,74300,U8-1
Customer Support,Customer Success Advocacy,"Supervisor, Customer Success",Management,MG1,47,9,55400,69300,83100,U9-1
Customer Support,Customer Success Advocacy,"Sr Supervisor, Customer Success",Management,MG2,48,10,61500,76900,92300,U10-1
Customer Support,Customer Success Advocacy,"Manager, Customer Success",Management,MG3,49,14,83400,104200,125100,U13-1
Customer Support,Customer Success Advocacy,"Sr Manager, Customer Success",Management,MG4,50,15,100900,126100,151400,U15-1
Customer Support,Customer Success Advocacy,"Director, Customer Success",Management,MG5,51,18,126900,161800,196700,U18-1
Customer Support,Customer Success Advocacy,"Sr Director, Customer Success",Management,MG6,52,21,161600,206000,250500,U21-1
Customer Support,Sales Support - Retention,"Specialist 1, Retention",Business Support,BS1,4,3,31400,39300,47100,U4-1
Customer Support,Sales Support - Retention,"Specialist 2, Retention",Business Support,BS2,5,4,39400,49300,59100,U6-1
Customer Support,Sales Support - Retention,"Specialist 3, Retention",Business Support,BS3,6,5,44200,55300,66300,U7-1
Customer Support,Sales Support - Retention,"Lead, Retention",Business Support,BS4,7,7,49500,61900,74300,U8-1
Customer Support,Sales Support - Retention,"Supervisor, Retention",Management,MG1,47,9,55400,69300,83100,U9-1
Customer Support,Sales Support - Retention,"Sr Supervisor, Retention",Management,MG2,48,10,61500,76900,92300,U10-1
Customer Support,Sales Support - Retention,"Manager, Retention",Management,MG3,49,14,91700,114600,137600,U14-1
Customer Support,Sales Support - Retention,"Sr Manager, Retention",Management,MG4,50,15,100900,126100,151400,U15-1
Customer Support,Sales Support - Retention,"Director, Retention",Management,MG5,51,18,126900,161800,196700,U18-1
Customer Support,Sales Support - Retention,"Sr Director, Retention",Management,MG6,52,21,161600,206000,250500,U21-1
Customer Support,Training Support,Clinical Training Coordinator 1,Business Support,BS1,4,4,31400,39300,47100,U4-1
Customer Support,Training Support,Clinical Training Coordinator 2,Business Support,BS2,5,6,35300,44100,53000,U5-1
Customer Support,Training Support,Clinical Training Coordinator 3,Business Support,BS3,6,8,39400,49300,59100,U6-1
Customer Support,Training Support,Lead Clinical Training Coordinator,Business Support,BS4,7,10,49500,61900,74300,U8-1
Customer Support,Training Support,"Supervisor, Clinical Training Support",Management,MG1,47,10,61500,76900,92300,U10-1
Customer Support,Training Support,"Sr Supervisor, Clinical Training Support",Management,MG2,48,11,68900,86100,103400,U11-1
Customer Support,Training Support,"Manager, Clinical Training Support",Management,MG3,49,13,83400,104200,125100,U13-1
Customer Support,Training Support,"Senior Manager, Clinical Training Support",Management,MG4,50,17,119800,149800,179700,U17-1
Customer Support,Training Support,"Director, Clinical Training Support",Management,MG5,51,19,138400,176400,214500,U19-1
Customer Support,Training Support,"Senior Director, Clinical Training Support",Management,MG6,52,22,173100,225000,277000,U22-1
Customer Support,Customer Technical Support,"Specialist 1, Tech Support",Technical Support,TS1,9,4,31400,39300,47100,U4-1
Customer Support,Customer Technical Support,"Specialist 2, Tech Support",Technical Support,TS2,10,5,35300,44100,53000,U5-1
Customer Support,Customer Technical Support,"Specialist 3, Tech Support",Technical Support,TS3,11,6,44200,55300,66300,U7-1
Customer Support,Customer Technical Support,"Specialist 3, Tech Support",Technical Support,TS3,11,6,44200,55300,66300,U7-1
Customer Support,Customer Technical Support,"Specialist 4, Tech Support",Technical Support,TS4,12,8,49500,61900,74300,U8-1
Customer Support,Customer Technical Support,"Supervisor, Tech Support",Management,MG1,47,8,55400,69300,83100,U9-1
Customer Support,Customer Technical Support,"Sr Supervisor, Tech Support",Management,MG2,48,11,61500,76900,92300,U10-1
Customer Support,Customer Technical Support,"Manager, Tech Support",Management,MG3,49,13,83400,104200,125100,U13-1
Customer Support,Customer Technical Support,"Sr Manager, Tech Support",Management,MG4,50,16,109900,137400,164900,U16-1
Customer Support,Customer Technical Support,"Director, Customer Technical Support",Management,MG5,51,18,126900,161800,196700,U18-1
Customer Support,Customer Technical Support,"Sr Director, Customer Technical Support",Management,MG6,52,20,149800,191000,232200,U20-1
Data Analytics,Data Scientists,Data Scientist I,Technical Professional,TP1,39,11,68900,86100,103400,U11-1
Data Analytics,Data Scientists,Data Scientist II,Technical Professional,TP2,40,14,91700,114600,137600,U14-1
Data Analytics,Data Scientists,Sr Data Scientist I,Technical Professional,TP3,41,17,119800,149800,179700,U17-1
Data Analytics,Data Scientists,Sr Data Scientist II,Technical Professional,TP4,42,19,138400,176400,214500,U19-1
Data Analytics,Data Scientists,Principal Data Scientist,Technical Professional,TP5,43,20,149800,191000,232200,U20-1
Data Analytics,Data Scientists,Sr Principal Data Scientist,Technical Professional,TP6,44,22,173100,225000,277000,U22-1
Data Analytics,Data Scientists,"Manager, Data Science",Management,MG3,49,19,138400,176400,214500,U19-1
Data Analytics,Data Scientists,"Sr Manager, Data Science",Management,MG4,50,21,161600,206000,250500,U21-1
Data Analytics,Data Scientists,"Assc Director, Data Science",Management,MG4,50,21,161600,206000,250500,U21-1
Data Analytics,Data Scientists,"Director, Data Science",Management,MG5,51,21,173100,225000,277000,U22-1
Data Analytics,Data Scientists,"Sr Director, Data Science",Management,MG6,52,24,207700,270000,332300,U24-1
Data Analytics,Statistician / Mathematician,Statistician  I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Data Analytics,Statistician / Mathematician,Statistician  II,Technical Professional,TP2,40,11,68900,86100,103400,U11-1
Data Analytics,Statistician / Mathematician,Sr Statistician  I,Technical Professional,TP3,41,14,91700,114600,137600,U14-1
Data Analytics,Statistician / Mathematician,Sr Statistician  II,Technical Professional,TP4,42,17,119800,149800,179700,U17-1
Data Analytics,Statistician / Mathematician,Principal Statistician ,Technical Professional,TP5,43,19,138400,176400,214500,U19-1
Data Analytics,Statistician / Mathematician,Sr Principal Statistician ,Technical Professional,TP6,44,20,149800,191000,232200,U20-1
Data Analytics,Statistician / Mathematician,"Manager, Statistician ",Management,MG3,49,17,119800,149800,179700,U17-1
Data Analytics,Statistician / Mathematician,"Sr Manager, Statistician ",Management,MG4,50,18,138400,176400,214500,U19-1
Data Analytics,Statistician / Mathematician,"Assc Director, Statistician ",Management,MG4,50,18,138400,176400,214500,U19-1
Data Analytics,Statistician / Mathematician,"Director, Statistician ",Management,MG5,51,21,161600,206000,250500,U21-1
Data Analytics,Statistician / Mathematician,"Sr Director, Statistician ",Management,MG6,52,24,207700,270000,332300,U24-1
Data Management,Data Engineering,Data Engineer I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Data Management,Data Engineering,Data Engineer II,Technical Professional,TP2,40,14,91700,114600,137600,U14-1
Data Management,Data Engineering,Sr Data Engineer I,Technical Professional,TP3,41,16,109900,137400,164900,U16-1
Data Management,Data Engineering,Sr Data Engineer II,Technical Professional,TP4,42,18,126900,161800,196700,U18-1
Data Management,Data Engineering,Principal Data Engineer,Technical Professional,TP5,43,19,138400,176400,214500,U19-1
Data Management,Data Engineering,Sr Principal Data Engineer,Technical Professional,TP6,44,21,161600,206000,250500,U21-1
Data Management,Data Engineering,"Manager, Data Engineering",Management,MG3,49,17,119800,149800,179700,U17-1
Data Management,Data Engineering,"Sr Manager, Data Engineering",Management,MG4,50,19,126900,161800,196700,U18-1
Data Management,Data Engineering,"Assc Director, Data Engineering",Management,MG4,50,19,126900,161800,196700,U18-1
Data Management,Data Engineering,"Director, Data Engineering",Management,MG5,51,21,188500,245000,301600,U23-1
Data Management,Data Engineering,"Sr Director, Data Engineering",Management,MG6,52,23,224200,297000,369900,U25-1
Data Management,Data Warehouse,Database Engineer I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Data Management,Data Warehouse,Database Engineer II,Technical Professional,TP2,40,12,75800,94700,113700,U12-1
Data Management,Data Warehouse,Sr Database Engineer I,Technical Professional,TP3,41,14,91700,114600,137600,U14-1
Data Management,Data Warehouse,Sr Database Engineer II,Technical Professional,TP4,42,16,109900,137400,164900,U16-1
Data Management,Data Warehouse,Principal Database Engineer,Technical Professional,TP5,43,19,138400,176400,214500,U19-1
Data Management,Data Warehouse,Sr Principal Database Engineer,Technical Professional,TP6,44,21,161600,206000,250500,U21-1
Data Management,Data Warehouse,"Manager, Data Warehouse",Management,MG3,49,17,119800,149800,179700,U17-1
Data Management,Data Warehouse,"Sr Manager, Data Warehouse",Management,MG4,50,19,138400,176400,214500,U19-1
Data Management,Data Warehouse,"Assc Director, Data Warehouse",Management,MG4,50,19,138400,176400,214500,U19-1
Data Management,Data Warehouse,"Director, Data Warehouse",Management,MG5,51,20,149800,191000,232200,U20-1
Data Management,Data Warehouse,"Sr Director, Data Warehouse",Management,MG6,52,24,207700,270000,332300,U24-1
Data Management,IT-Executive,"VP, Data Management",Executive,EX1,54,25,224200,297000,369900,U25-1
Data Management,IT-Executive,"SVP, Data Management",Executive,EX3,56,26,246800,327000,407200,U26-1
Engineering,Algorithm Engineering,Algorithm Engineer I,Technical Professional,TP1,39,11,68900,86100,103400,U11-1
Engineering,Algorithm Engineering,Algorithm Engineer II,Technical Professional,TP2,40,13,83400,104200,125100,U13-1
Engineering,Algorithm Engineering,Sr Algorithm Engineer I,Technical Professional,TP3,41,15,100900,126100,151400,U15-1
Engineering,Algorithm Engineering,Sr Algorithm Engineer II,Technical Professional,TP4,42,17,119800,149800,179700,U17-1
Engineering,Algorithm Engineering,Principal Algorithm Engineer,Technical Professional,TP5,43,19,138400,176400,214500,U19-1
Engineering,Algorithm Engineering,Sr Principal Algorithm Engineer,Technical Professional,TP6,44,21,161600,206000,250500,U21-1
Engineering,Algorithm Engineering,"Manager, Algorithm Engineering",Management,MG3,49,18,126900,161800,196700,U18-1
Engineering,Algorithm Engineering,"Sr Manager, Algorithm Engineering",Management,MG4,50,20,149800,191000,232200,U20-1
Engineering,Algorithm Engineering,"Assc Director, Algorithm Engineering",Management,MG4,50,20,149800,191000,232200,U20-1
Engineering,Algorithm Engineering,"Director, Algorithm Engineering",Management,MG5,51,22,173100,225000,277000,U22-1
Engineering,Algorithm Engineering,"Sr Director, Algorithm Engineering",Management,MG6,52,23,188500,245000,301600,U23-1
Engineering,Compliance Engineering,Compliance Engineer I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Engineering,Compliance Engineering,Compliance Engineer II,Technical Professional,TP2,40,11,68900,86100,103400,U11-1
Engineering,Compliance Engineering,Sr Compliance Engineer I,Technical Professional,TP3,41,14,91700,114600,137600,U14-1
Engineering,Compliance Engineering,Sr Compliance Engineer II,Technical Professional,TP4,42,16,109900,137400,164900,U16-1
Engineering,Compliance Engineering,Principal Compliance Engineer,Technical Professional,TP5,43,18,126900,161800,196700,U18-1
Engineering,Compliance Engineering,Sr Principal Compliance Engineer,Technical Professional,TP6,44,20,149800,191000,232200,U20-1
Engineering,Compliance Engineering,"Manager, Compliance Engineering",Management,MG3,49,17,119800,149800,179700,U17-1
Engineering,Compliance Engineering,"Sr Manager, Compliance Engineering",Management,MG4,50,19,138400,176400,214500,U19-1
Engineering,Compliance Engineering,"Assc Director, Compliance Engineering",Management,MG4,50,19,138400,176400,214500,U19-1
Engineering,Compliance Engineering,"Director, Compliance Engineering",Management,MG5,51,21,161600,206000,250500,U21-1
Engineering,Compliance Engineering,"Sr Director, Compliance Engineering",Management,MG6,52,22,173100,225000,277000,U22-1
Engineering,Dev Ops Engineering,DevOps Engineer I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Engineering,Dev Ops Engineering,DevOps Engineer II,Technical Professional,TP2,40,13,83400,104200,125100,U13-1
Engineering,Dev Ops Engineering,Sr DevOps Engineer I,Technical Professional,TP3,41,16,109900,137400,164900,U16-1
Engineering,Dev Ops Engineering,Sr DevOps Engineer II,Technical Professional,TP4,42,18,126900,161800,196700,U18-1
Engineering,Dev Ops Engineering,Principal DevOps Engineer,Technical Professional,TP5,43,20,149800,191000,232200,U20-1
Engineering,Dev Ops Engineering,Principal DevOps Engineer - CAN,Technical Professional,TP5,43,20,149800,191000,232200,U20-1
Engineering,Dev Ops Engineering,Sr Principal DevOps Engineer,Technical Professional,TP6,44,22,188500,245000,301600,U23-1
Engineering,Dev Ops Engineering,"Manager, DevOps Engineering",Management,MG3,49,17,119800,149800,179700,U17-1
Engineering,Dev Ops Engineering,"Sr Manager, DevOps Engineering",Management,MG4,50,20,149800,191000,232200,U20-1
Engineering,Dev Ops Engineering,"Assc Director, DevOps Engineering",Management,MG4,50,20,149800,191000,232200,U20-1
Engineering,Dev Ops Engineering,"Director, DevOps Engineering",Management,MG5,51,21,161600,206000,250500,U21-1
Engineering,Dev Ops Engineering,"Sr Director, DevOps Engineering",Management,MG6,52,22,173100,225000,277000,U22-1
Engineering,Electrical Engineering,Electrical Engineer I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Engineering,Electrical Engineering,Electrical Engineer II,Technical Professional,TP2,40,12,75800,94700,113700,U12-1
Engineering,Electrical Engineering,Sr Electrical Engineer I,Technical Professional,TP3,41,14,91700,114600,137600,U14-1
Engineering,Electrical Engineering,Sr Electrical Engineer II,Technical Professional,TP4,42,16,109900,137400,164900,U16-1
Engineering,Electrical Engineering,Principal Electrical Engineer,Technical Professional,TP5,43,19,138400,176400,214500,U19-1
Engineering,Electrical Engineering,Sr Principal Electrical Engineer,Technical Professional,TP6,44,21,161600,206000,250500,U21-1
Engineering,Electrical Engineering,"Manager, Electrical Engineering",Management,MG3,49,17,119800,149800,179700,U17-1
Engineering,Electrical Engineering,"Sr Manager, Electrical Engineering",Management,MG4,50,19,138400,176400,214500,U19-1
Engineering,Electrical Engineering,"Assc Director, Electrical Engineering",Management,MG4,50,19,138400,176400,214500,U19-1
Engineering,Electrical Engineering,"Director, Electrical Engineering",Management,MG5,51,21,161600,206000,250500,U21-1
Engineering,Electrical Engineering,"Sr Director, Electrical Engineering",Management,MG6,52,22,173100,225000,277000,U22-1
Engineering,Electrical Test Engineering,Electrical Test Engineer I,Technical Professional,TP1,39,10,61500,76900,92300,U10-1
Engineering,Electrical Test Engineering,Electrical Test Engineer II,Technical Professional,TP2,40,11,68900,86100,103400,U11-1
Engineering,Electrical Test Engineering,Sr Electrical Test Engineer I,Technical Professional,TP3,41,14,91700,114600,137600,U14-1
Engineering,Electrical Test Engineering,Sr Electrical Test Engineer II,Technical Professional,TP4,42,16,109900,137400,164900,U16-1
